unique_song_id,song_key,song_title,artist
1,luther || kendrick lamar & sza,Luther,Kendrick Lamar & SZA
2,tv off || kendrick lamar featuring lefty gunplay,TV Off,Kendrick Lamar featuring Lefty Gunplay
3,not like us || kendrick lamar,Not Like Us,Kendrick Lamar
4,squabble up || kendrick lamar,Squabble Up,Kendrick Lamar
5,nokia || drake,Nokia,Drake
6,all the way || bigxthaplug featuring bailey zimmerman,All the Way,BigXthaPlug featuring Bailey Zimmerman
7,"sticky || tyler, the creator featuring glorilla, sexyy red & lil wayne",Sticky,"Tyler, the Creator featuring GloRilla, Sexyy Red & Lil Wayne"
8,whatchu kno about me || glorilla & sexyy red,Whatchu Kno About Me,GloRilla & Sexyy Red
9,peekaboo || kendrick lamar featuring azchike,Peekaboo,Kendrick Lamar featuring AzChike
10,denial is a river || doechii,Denial Is a River,Doechii
11,timeless || the weeknd & playboi carti,Timeless,The Weeknd & Playboi Carti
12,mutt || leon thomas,Mutt,Leon Thomas
13,30 for 30 || sza with kendrick lamar,30 for 30,SZA with Kendrick Lamar
14,cry for me || the weeknd,Cry for Me,The Weeknd
15,burning blue || mariah the scientist,Burning Blue,Mariah the Scientist
16,"somebody loves me || partynextdoor, drake & cash cobain",Somebody Loves Me,"PARTYNEXTDOOR, Drake & Cash Cobain"
17,"like him || tyler, the creator featuring lola young",Like Him,"Tyler, the Creator featuring Lola Young"
18,heart of a woman || summer walker,Heart of a Woman,Summer Walker
19,residuals || chris brown,Residuals,Chris Brown
20,folded || kehlani,Folded,Kehlani
21,a bar song (tipsy) || shaboozey,A Bar Song (Tipsy),Shaboozey
22,love somebody || morgan wallen,Love Somebody,Morgan Wallen
23,i'm the problem || morgan wallen,I'm the Problem,Morgan Wallen
24,i had some help || post malone featuring morgan wallen,I Had Some Help,Post Malone featuring Morgan Wallen
25,just in case || morgan wallen,Just in Case,Morgan Wallen
26,good news || shaboozey,Good News,Shaboozey
27,what i want || morgan wallen featuring tate mcrae,What I Want,Morgan Wallen featuring Tate McRae
28,i got better || morgan wallen,I Got Better,Morgan Wallen
29,i never lie || zach top,I Never Lie,Zach Top
30,birds of a feather || billie eilish,Birds of a Feather,Billie Eilish
31,too sweet || hozier,Too Sweet,Hozier
32,stargazing || myles smith,Stargazing,Myles Smith
33,wildflower || billie eilish,Wildflower,Billie Eilish
34,messy || lola young,Messy,Lola Young
35,no one noticed || the marías,No One Noticed,The Marías
36,sailor song || gigi perez,Sailor Song,Gigi Perez
37,liar || jelly roll,Liar,Jelly Roll
38,undressed || sombr,Undressed,sombr
39,back to friends || sombr,Back to Friends,sombr
40,apt. || rosé & bruno mars,APT.,ROSÉ & Bruno Mars
41,die with a smile || lady gaga & bruno mars,Die with a Smile,Lady Gaga & Bruno Mars
42,ordinary || alex warren,Ordinary,Alex Warren
43,beautiful things || benson boone,Beautiful Things,Benson Boone
44,lose control || teddy swims,Lose Control,Teddy Swims
45,that's so true || gracie abrams,That's So True,Gracie Abrams
46,espresso || sabrina carpenter,Espresso,Sabrina Carpenter
47,"golden || huntr/x: ejae, audrey nuna & rei ami",Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
